Questions,Category,text,label
What hypotheses would you formulate for a biology experiment on plant growth?,BT6,what hypotheses would you formulate for a biology experiment on plant growth?,5
Describe the significance of the urea cycle.,BT4,describe the significance of the urea cycle.,3
What is namespace? To demonstrate namespace with example.,BT1,what is namespace? to demonstrate namespace with example.,0
udge aesthetic qualities and relationship to future values.,BT5,udge aesthetic qualities and relationship to future values.,4
Explain in  brief process of manufacture of urea from ammonium carbamate with process flow diagram.,BT1,explain in  brief process of manufacture of urea from ammonium carbamate with process flow diagram.,0
What is meant by back emf in DC motor? State the equation of back emf. Also explain how back emf acts as a regulating mechanism whenload on DC motor changes.,BT1,what is meant by back emf in dc motor? state the equation of back emf. also explain how back emf acts as a regulating mechanism whenload on dc motor changes.,0
Evaluate the corrosion monitoring needs of a chemical processing plant ,BT5,evaluate the corrosion monitoring needs of a chemical processing plant,4
Explain with neat diagram the external hardware interrupts of PIC18 microcontroller in detail.,BT4,explain with neat diagram the external hardware interrupts of pic18 microcontroller in detail.,3
"Compare the environmental impact of different construction techniques (e.g., conventional construction, prefabrication, modular construction) in terms of waste generation and resource utilization.",BT4,"compare the environmental impact of different construction techniques (e.g., conventional construction, prefabrication, modular construction) in terms of waste generation and resource utilization.",3
"Evaluate the reliability of different distributed consensus algorithms (e.g., Paxos, Raft, ZAB) in ensuring data consistency and fault tolerance in distributed systems.",BT4,"evaluate the reliability of different distributed consensus algorithms (e.g., paxos, raft, zab) in ensuring data consistency and fault tolerance in distributed systems.",3
Explain the internal diagram of IC 7490.,BT1,explain the internal diagram of ic 7490.,0
Solve an electrical engineering problem involving circuit analysis.,BT3,solve an electrical engineering problem involving circuit analysis.,2
What are the check points in cell cycle?,BT1,what are the check points in cell cycle?,0
"State any TWO (2) of Malaysia's rules, regulations or standards which are related to scaffolding and falsework. ",BT2,"state any two (2) of malaysia's rules, regulations or standards which are related to scaffolding and falsework.",1
With neat pin diagram explain function of each pin of IC 741,BT1,with neat pin diagram explain function of each pin of ic 741,0
Paraphrase the historical speech.,BT2,paraphrase the historical speech.,1
Double Jet Pelton Wheel has a specific speed of 14 and is required to deliver 1000 kW.,BT3,double jet pelton wheel has a specific speed of 14 and is required to deliver 1000 kw.,2
Draw and Explain Hardwired control unit.,BT2,draw and explain hardwired control unit.,1
Define brainstorming process. ,BT1,define brainstorming process.,0
Explain in detail corrosion monitoring techniques of reinforcement and preventive measures against corrosion.,BT1,explain in detail corrosion monitoring techniques of reinforcement and preventive measures against corrosion.,0
Explain sounding methods and sounding equipment of hydrographic survey.,BT2,explain sounding methods and sounding equipment of hydrographic survey.,1
A girder or uniform section and constant depth is freely supported  over a span of 200 Centimeters.,BT3,a girder or uniform section and constant depth is freely supported  over a span of 200 centimeters.,2
What are the different types of appraisals required to undertake any Project?,BT1,what are the different types of appraisals required to undertake any project?,0
